Name,Address,Rating,Business Status,Place ID,Website
St. Claire Apartment Homes,"1735 Biscayne Street, Santa Maria",3.4,OPERATIONAL,ChIJa49E32tr7IARsfe3puelnJI,https://www.livestclaire.com/?rccustomid=MTg4OTU=-lagFS0sSuTs=&utm_source=obl&utm_medium=organic
Santa Maria Country Club,"505 West Waller Lane, Santa Maria",4.5,OPERATIONAL,ChIJ5wuPf1Jr7IARg33uo-KN_No,http://www.santamariacc.com/
Budget Car Rental,"3249 Terminal Drive, Santa Maria",3.0,OPERATIONAL,ChIJpSsIMrAU7IARz58OkUO5aks,https://www.budget.com/en/locations/us/ca/santa-maria/smx
Walgreens,"2399 South Broadway, Santa Maria",2.8,OPERATIONAL,ChIJO8_4OlZr7IARlsxy7JO_Kls,https://www.walgreens.com/locator/walgreens-2399+s+broadway-santa+maria-ca-93454/id=6287
Martinez & Associates,"2624 Airpark Drive, Santa Maria",5.0,OPERATIONAL,ChIJ21nkqElr7IAR3fSpnE9a114,N/A
Rite Aid,"2405 South Broadway, Santa Maria",4.0,OPERATIONAL,ChIJc8HcGlZr7IARtW-TExjcvOk,https://www.riteaid.com/locations/ca/santa-maria/2405-south-broadway.html
Advanced Wireless,"708 Betteravia Road # B, Santa Maria",4.6,OPERATIONAL,ChIJW6B1Wlpr7IAR-TWl3wsCeOk,http://www.advancedwireless.us/
Town & Country Inn,"2250 South Broadway, Santa Maria",3.5,OPERATIONAL,ChIJOXBmJKhs7IARaLr-51-Rqxk,https://www.townandcountryinnsm.com/
Dignity Health Urgent Care - Santa Maria,"2271 South Depot Street, Santa Maria",2.7,OPERATIONAL,ChIJQTitv6hs7IAR5pA5OW0KueA,https://locations.dignityhealth.org/dignity-health-urgent-care-santa-maria?y_source=1_OTAxMzc4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Rizzoli's Automotive,"1149 Tama Lane, Santa Maria",4.6,OPERATIONAL,ChIJVeKfo0Zr7IARkmVujGraRTo,https://rizzolisautomotive.com/location-Rizzolis-Automotive-Santa-Maria.html
German Auto of Santa Maria,"722 Betteravia Road Suite A, Santa Maria",4.4,OPERATIONAL,ChIJmdJ_-Fpr7IARALlv9o-WDZk,http://www.germanautosm.net/
Waller Park,"3107 Orcutt Road, Orcutt",4.6,OPERATIONAL,ChIJORVluqgU7IARIDD0xrNhaHQ,https://www.countyofsb.org/parks/parks02.aspx?id=7654
Social Security Administration,"2436 Professional Parkway, Santa Maria",3.2,OPERATIONAL,ChIJR9-ye1Zr7IARPsJwuYrYa2U,http://www.ssa.gov/
Ginegar Plastics Inc.,"3042 Industrial Parkway, Santa Maria",,OPERATIONAL,ChIJkQWo4a0U7IARk3bB1fj2Pnc,https://ginegar.com/
Hayward Lumber,"800 Betteravia Road, Santa Maria",4.4,OPERATIONAL,ChIJYakw4Fpr7IAR7aVs2yPOqBU,https://www.haywardlumber.com/santa-maria-lumberyard-design-center
"SCS Engineers, Santa Maria","2370 Skyway Drive STE 101, Santa Maria",,OPERATIONAL,ChIJ0xErHklr7IARs4_jdctB0Nk,https://www.scsengineers.com/
Central Coast Remedial Resources,"2601 Skyway Drive # A1, Santa Maria",5.0,OPERATIONAL,ChIJ0xErHklr7IARltJNSLQ33gA,N/A
