Name,Address,Rating,Business Status,Place ID,Website,Type
Charlie’s Restaurant,"185 Bell Street, Los Alamos",4.6,OPERATIONAL,ChIJv2irV04E7IAReBho8uUnwyQ,http://charliesfood.com/,"restaurant, food, point_of_interest, establishment"
Rancho Alamo,"4300 California 135, Los Alamos",,OPERATIONAL,ChIJy2lh2I4F7IAROWYuOBjfGQ0,N/A,"point_of_interest, establishment"
Los Alamos Home,"9500 Bell Street, Santa Maria",,OPERATIONAL,ChIJfdgJfJgF7IARLAeMI8T42Ro,N/A,"point_of_interest, establishment"
Full Of Life Flatbread,"225 Bell Street, Los Alamos",4.6,OPERATIONAL,ChIJy6RDAk8E7IAR0gwoZYfCsEo,http://fulloflifefoods.com/,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Ercon Reconditioning,"230 Main Street, Los Alamos",,OPERATIONAL,ChIJ__8PfE8E7IARjixa-nYiut4,https://erconrecon.com/contact-us,"point_of_interest, establishment"
Priedite Barbecue,"273 Bell Street, Los Alamos",4.6,OPERATIONAL,ChIJn_FTk4IF7IARfgIfZbhrUcI,http://www.prieditebbq.com/,"restaurant, food, point_of_interest, establishment"
Bodega Los Alamos,"273 Bell Street, Los Alamos",4.8,OPERATIONAL,ChIJI3YloS8F7IARjmUOKtofEyw,http://www.bodegalosalamos.com/,"bar, food, point_of_interest, establishment"
Collins Market,"290 Bell Street, Los Alamos",3.9,OPERATIONAL,ChIJMxCTBk8E7IARY8p6mYT_DCA,N/A,"convenience_store, gas_station, store, food, point_of_interest, establishment"
Start | mysite,"365 Saint Joseph Street, Los Alamos",,OPERATIONAL,ChIJq6oWkkUE7IAR2fPDpHrESFw,https://www.spookystatespictures.com/contact,"point_of_interest, establishment"
Los Alamos Creekside Village,"260 Gonzales Drive, Los Alamos",4.1,OPERATIONAL,ChIJ83xDt04E7IARFL-8JLOJy90,N/A,"point_of_interest, establishment"
Los Alamos Coffee and Tea,"315 Bell Street, Los Alamos",5.0,OPERATIONAL,ChIJuSvSx8sF7IARxQ8MDbzZKS8,N/A,"cafe, store, food, point_of_interest, establishment"
